Timestamp,VehicleID,Speed_KMPH,Overspeed
2026-01-10 20:26:54,0,20.12,YES
2026-01-10 20:26:54,1,20.12,YES
2026-01-10 20:26:54,2,28.46,YES
2026-01-10 20:26:54,3,28.46,YES
2026-01-10 20:26:54,5,20.12,YES
2026-01-10 20:26:54,8,28.46,YES
2026-01-10 20:26:54,10,20.12,YES
2026-01-10 20:26:54,0,45.0,YES
2026-01-10 20:26:54,2,32.45,YES
2026-01-10 20:26:54,3,20.12,YES
2026-01-10 20:26:54,7,20.12,YES
2026-01-10 20:26:54,8,40.25,YES
2026-01-10 20:26:54,9,20.12,YES
2026-01-10 20:26:54,0,32.45,YES
2026-01-10 20:26:54,1,32.45,YES
2026-01-10 20:26:54,0,32.45,YES
2026-01-10 20:26:54,1,20.12,YES
2026-01-10 20:26:54,3,20.12,YES
2026-01-10 20:26:54,6,45.0,YES
2026-01-10 20:26:54,8,32.45,YES
2026-01-10 20:26:54,9,20.12,YES
2026-01-10 20:26:54,11,36.0,YES
2026-01-10 20:26:54,0,56.92,YES
2026-01-10 20:26:54,1,32.45,YES
2026-01-10 20:26:54,2,27.0,YES
2026-01-10 20:26:54,3,37.11,YES
2026-01-10 20:26:54,4,25.46,YES
2026-01-10 20:26:54,6,45.0,YES
2026-01-10 20:26:54,7,37.11,YES
2026-01-10 20:26:54,8,52.48,YES
2026-01-10 20:26:54,12,36.0,YES
2026-01-10 20:26:54,14,25.46,YES
2026-01-10 20:26:54,0,20.12,YES
2026-01-10 20:26:54,8,65.52,YES
2026-01-10 20:26:54,9,27.0,YES
2026-01-10 20:26:54,12,63.0,YES
2026-01-10 20:26:54,14,20.12,YES
2026-01-10 20:26:54,0,45.0,YES
2026-01-10 20:26:54,1,38.18,YES
2026-01-10 20:26:54,3,54.74,YES
2026-01-10 20:26:54,4,28.46,YES
2026-01-10 20:26:54,5,27.0,YES
2026-01-10 20:26:54,7,63.0,YES
2026-01-10 20:26:54,8,50.91,YES
2026-01-10 20:26:54,9,48.47,YES
2026-01-10 20:26:54,12,20.12,YES
2026-01-10 20:26:54,13,54.0,YES
2026-01-10 20:26:54,16,170.76,YES
2026-01-10 20:26:54,0,20.12,YES
2026-01-10 20:26:54,1,20.12,YES
2026-01-10 20:26:54,2,28.46,YES
2026-01-10 20:26:54,3,32.45,YES
2026-01-10 20:26:54,7,27.0,YES
2026-01-10 20:26:54,8,108.75,YES
2026-01-10 20:26:54,12,20.12,YES
2026-01-10 20:26:54,13,37.11,YES
2026-01-10 20:26:54,16,20.12,YES
2026-01-10 20:26:54,0,25.46,YES
2026-01-10 20:26:54,1,32.45,YES
2026-01-10 20:26:54,2,32.45,YES
2026-01-10 20:26:54,3,28.46,YES
2026-01-10 20:26:54,5,45.0,YES
